date,close,rules_regime,threshold_regime,hybrid_regime
2017-03-09,123.04930877685547,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-03-10,123.56653594970703,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-03-13,123.77345275878906,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-03-14,123.47251892089844,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-03-15,124.23428344726562,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-03-16,124.14959716796875,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-03-17,124.1063003540039,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-03-20,124.2193832397461,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-03-21,122.33456420898438,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2017-03-22,123.1639175415039,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2017-03-23,122.8528823852539,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2017-03-24,123.10733795166016,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2017-03-27,123.30524444580078,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2017-03-28,124.0591812133789,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2017-03-29,124.63401794433594,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2017-03-30,124.84139251708984,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2017-03-31,124.75653839111328,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2017-04-03,124.68115234375,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2017-04-04,124.8790512084961,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2017-04-05,124.37017059326172,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2017-04-06,124.43614196777344,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2017-04-07,124.37017059326172,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2017-04-10,124.41728973388672,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2017-04-11,123.88011932373047,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2017-04-12,123.38059997558594,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2017-04-13,122.89057922363281,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2017-04-17,123.90840911865234,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2017-04-18,123.71992492675781,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2017-04-19,123.91783142089844,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-04-20,124.95448303222656,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-04-21,124.92620086669922,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-04-24,126.43408203125,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2017-04-25,127.34820556640625,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2017-04-26,127.16913604736328,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2017-04-27,127.93251037597656,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2017-04-28,128.15867614746094,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2017-05-01,129.2989959716797,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2017-05-02,129.51571655273438,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2017-05-03,129.10108947753906,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2017-05-04,129.148193359375,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2017-05-05,129.619384765625,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2017-05-08,129.90211486816406,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2017-05-09,130.35452270507812,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2017-05-10,130.4298858642578,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2017-05-11,130.32620239257812,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2017-05-12,130.61837768554688,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-05-15,131.03306579589844,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-05-16,131.57962036132812,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-05-17,128.2340545654297,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2017-05-18,129.3555145263672,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2017-05-19,129.90211486816406,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2017-05-22,130.9953155517578,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2017-05-23,131.1272430419922,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2017-05-24,131.7303924560547,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2017-05-25,132.85186767578125,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2017-05-26,133.08749389648438,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
